kind,series,category,x,value,pixel_x,pixel_y,width,height,fill,stroke,stroke_width,value_status,x2,y2,radius,marker
rect,E. coli B36,-,-,30,172,393.25,72,150.75,#ffffff,#050505,4,visible_bar_height,,,,
line,E. coli B36,-,-,30,208,423.4,,,,#222,2,visible_interval_geometry,208,368.125,,
line,E. coli B36,-,-,30,196,423.4,,,,#222,2,visible_interval_geometry,220,423.4,,
line,E. coli B36,-,-,30,196,368.125,,,,#222,2,visible_interval_geometry,220,368.125,,
point,E. coli B36,-,-,24,195,423.4,,,#080808,,,visible_replicate_marker,,,6,circle
point,E. coli B36,-,-,28,201,403.3,,,#080808,,,visible_replicate_marker,,,6,circle
point,E. coli B36,-,-,30,208,393.25,,,#080808,,,visible_replicate_marker,,,6,circle
point,E. coli B36,-,-,31,215,388.225,,,#080808,,,visible_replicate_marker,,,6,circle
point,E. coli B36,-,-,34,221,373.15,,,#080808,,,visible_replicate_marker,,,6,circle
point,E. coli B36,-,-,35,205,368.125,,,#080808,,,visible_replicate_marker,,,6,circle
rect,E. coli B36,+,+,49,289,297.775,72,246.22500000000002,#ffffff,#050505,4,visible_bar_height,,,,
line,E. coli B36,+,+,49,325,353.05,,,,#4c9746,2,visible_interval_geometry,325,197.27499999999998,,
line,E. coli B36,+,+,49,313,353.05,,,,#4c9746,2,visible_interval_geometry,337,353.05,,
line,E. coli B36,+,+,49,313,197.27499999999998,,,,#4c9746,2,visible_interval_geometry,337,197.27499999999998,,
point,E. coli B36,+,+,38,312,353.05,,,#16800f,,,visible_replicate_marker,,,6,square
point,E. coli B36,+,+,42,318,332.95,,,#16800f,,,visible_replicate_marker,,,6,square
point,E. coli B36,+,+,45,325,317.875,,,#16800f,,,visible_replicate_marker,,,6,square
point,E. coli B36,+,+,47,332,307.825,,,#16800f,,,visible_replicate_marker,,,6,square
point,E. coli B36,+,+,56,338,262.6,,,#16800f,,,visible_replicate_marker,,,6,square
point,E. coli B36,+,+,69,322,197.27499999999998,,,#16800f,,,visible_replicate_marker,,,6,square
rect,S. aureus BPH2900,-,-,68,718,407.32,72,136.68,#ffffff,#050505,4,visible_bar_height,,,,
line,S. aureus BPH2900,-,-,68,754,443.5,,,,#222,2,visible_interval_geometry,754,334.96,,
line,S. aureus BPH2900,-,-,68,742,443.5,,,,#222,2,visible_interval_geometry,766,443.5,,
line,S. aureus BPH2900,-,-,68,742,334.96,,,,#222,2,visible_interval_geometry,766,334.96,,
point,S. aureus BPH2900,-,-,50,741,443.5,,,#080808,,,visible_replicate_marker,,,6,circle
point,S. aureus BPH2900,-,-,57,747,429.43,,,#080808,,,visible_replicate_marker,,,6,circle
point,S. aureus BPH2900,-,-,64,754,415.36,,,#080808,,,visible_replicate_marker,,,6,circle
point,S. aureus BPH2900,-,-,68,761,407.32,,,#080808,,,visible_replicate_marker,,,6,circle
point,S. aureus BPH2900,-,-,76,767,391.24,,,#080808,,,visible_replicate_marker,,,6,circle
point,S. aureus BPH2900,-,-,89,751,365.11,,,#080808,,,visible_replicate_marker,,,6,circle
point,S. aureus BPH2900,-,-,104,758,334.96,,,#080808,,,visible_replicate_marker,,,6,circle
rect,S. aureus BPH2900,+,+,101,837,340.99,72,203.01,#ffffff,#050505,4,visible_bar_height,,,,
line,S. aureus BPH2900,+,+,101,873,385.21,,,,#4c9746,2,visible_interval_geometry,873,242.5,,
line,S. aureus BPH2900,+,+,101,861,385.21,,,,#4c9746,2,visible_interval_geometry,885,385.21,,
line,S. aureus BPH2900,+,+,101,861,242.5,,,,#4c9746,2,visible_interval_geometry,885,242.5,,
point,S. aureus BPH2900,+,+,79,860,385.21,,,#16800f,,,visible_replicate_marker,,,6,square
point,S. aureus BPH2900,+,+,85,866,373.15,,,#16800f,,,visible_replicate_marker,,,6,square
point,S. aureus BPH2900,+,+,89,873,365.11,,,#16800f,,,visible_replicate_marker,,,6,square
point,S. aureus BPH2900,+,+,94,880,355.06,,,#16800f,,,visible_replicate_marker,,,6,square
point,S. aureus BPH2900,+,+,100,886,343.0,,,#16800f,,,visible_replicate_marker,,,6,square
point,S. aureus BPH2900,+,+,119,870,304.81,,,#16800f,,,visible_replicate_marker,,,6,square
point,S. aureus BPH2900,+,+,150,877,242.5,,,#16800f,,,visible_replicate_marker,,,6,square
rect,S. pyogenes HKU419,-,-,75,1298,343.0,72,201.0,#ffffff,#050505,4,visible_bar_height,,,,
line,S. pyogenes HKU419,-,-,75,1334,393.91999999999996,,,,#222,2,visible_interval_geometry,1334,300.12,,
line,S. pyogenes HKU419,-,-,75,1322,393.91999999999996,,,,#222,2,visible_interval_geometry,1346,393.91999999999996,,
line,S. pyogenes HKU419,-,-,75,1322,300.12,,,,#222,2,visible_interval_geometry,1346,300.12,,
point,S. pyogenes HKU419,-,-,56,1321,393.91999999999996,,,#080808,,,visible_replicate_marker,,,6,circle
point,S. pyogenes HKU419,-,-,64,1327,372.48,,,#080808,,,visible_replicate_marker,,,6,circle
point,S. pyogenes HKU419,-,-,68,1334,361.76,,,#080808,,,visible_replicate_marker,,,6,circle
point,S. pyogenes HKU419,-,-,73,1341,348.36,,,#080808,,,visible_replicate_marker,,,6,circle
point,S. pyogenes HKU419,-,-,78,1347,334.96,,,#080808,,,visible_replicate_marker,,,6,circle
point,S. pyogenes HKU419,-,-,82,1331,324.24,,,#080808,,,visible_replicate_marker,,,6,circle
point,S. pyogenes HKU419,-,-,91,1338,300.12,,,#080808,,,visible_replicate_marker,,,6,circle
rect,S. pyogenes HKU419,+,+,107,1409,257.24,72,286.76,#ffffff,#050505,4,visible_bar_height,,,,
line,S. pyogenes HKU419,+,+,107,1445,300.12,,,,#4c9746,2,visible_interval_geometry,1445,179.52000000000004,,
line,S. pyogenes HKU419,+,+,107,1433,300.12,,,,#4c9746,2,visible_interval_geometry,1457,300.12,,
line,S. pyogenes HKU419,+,+,107,1433,179.52000000000004,,,,#4c9746,2,visible_interval_geometry,1457,179.52000000000004,,
point,S. pyogenes HKU419,+,+,91,1432,300.12,,,#16800f,,,visible_replicate_marker,,,6,square
point,S. pyogenes HKU419,+,+,95,1438,289.4,,,#16800f,,,visible_replicate_marker,,,6,square
point,S. pyogenes HKU419,+,+,100,1445,276.0,,,#16800f,,,visible_replicate_marker,,,6,square
point,S. pyogenes HKU419,+,+,108,1452,254.56,,,#16800f,,,visible_replicate_marker,,,6,square
point,S. pyogenes HKU419,+,+,112,1458,243.83999999999997,,,#16800f,,,visible_replicate_marker,,,6,square
point,S. pyogenes HKU419,+,+,128,1442,200.95999999999998,,,#16800f,,,visible_replicate_marker,,,6,square
point,S. pyogenes HKU419,+,+,136,1449,179.52000000000004,,,#16800f,,,visible_replicate_marker,,,6,square
