record_id,panel_id,chart_group,cell_type,color_hex,displayed_label,displayed_value_percent,label_anchor_x_original_px,label_anchor_y_original_px,label_status,label_value_numeric_authorized,group_label_sum_percent,normalized_label_share_percent,geometry_share_percent_validation_only,geometry_status,source_representation
fig1f-label-01,Fig.1f,Normal,Normal_KC_Diff,#f6c74f,59.5,59.5,1118,542,manual_verified_visible_label,true,97.5,61.025641,62.924245,validation_only_case_local_candidate,visible_label_on_official_raster
fig1f-label-02,Fig.1f,Normal,Tumor_KC_Cyc,#9dcc80,16.6,16.6,1227,454,manual_verified_visible_label,true,97.5,17.025641,16.153516,validation_only_case_local_candidate,visible_label_on_official_raster
fig1f-label-03,Fig.1f,Normal,Tumor_KC_Basal,#54caf5,18.9,18.9,1248,516,manual_verified_visible_label,true,97.5,19.384615,18.946012,validation_only_case_local_candidate,visible_label_on_official_raster
fig1f-label-04,Fig.1f,Normal,TSK,#ef6633,2.5,2.5,1227,592,manual_verified_visible_label,true,97.5,2.564103,1.976228,validation_only_case_local_candidate,visible_label_on_official_raster
fig1f-label-05,Fig.1f,AK,Normal_KC_Diff,#f6c74f,48.7,48.7,1327,512,manual_verified_visible_label,true,90.6,53.752759,54.793532,validation_only_case_local_candidate,visible_label_on_official_raster
fig1f-label-06,Fig.1f,AK,Tumor_KC_Diff,#799ab9,9.2,9.2,1410,443,manual_verified_visible_label,true,90.6,10.154525,9.659255,validation_only_case_local_candidate,visible_label_on_official_raster
fig1f-label-07,Fig.1f,AK,Tumor_KC_Cyc,#9dcc80,3.3,3.3,1456,469,manual_verified_visible_label,true,90.6,3.642384,3.075368,validation_only_case_local_candidate,visible_label_on_official_raster
fig1f-label-08,Fig.1f,AK,Tumor_KC_Basal,#54caf5,22.2,22.2,1490,535,manual_verified_visible_label,true,90.6,24.503311,24.920589,validation_only_case_local_candidate,visible_label_on_official_raster
fig1f-label-09,Fig.1f,AK,TSK,#ef6633,7.2,7.2,1441,594,manual_verified_visible_label,true,90.6,7.947020,7.551256,validation_only_case_local_candidate,visible_label_on_official_raster
fig1f-label-10,Fig.1f,Primary,Normal_KC_Diff,#f6c74f,10.3,10.3,1584,447,manual_verified_visible_label,true,70.3,14.651494,14.101646,validation_only_case_local_candidate,visible_label_on_official_raster
fig1f-label-11,Fig.1f,Primary,Tumor_KC_Diff,#799ab9,25.9,25.9,1720,478,manual_verified_visible_label,true,70.3,36.842105,37.165354,validation_only_case_local_candidate,visible_label_on_official_raster
fig1f-label-12,Fig.1f,Primary,Tumor_KC_Basal,#54caf5,17.5,17.5,1648,616,manual_verified_visible_label,true,70.3,24.893314,25.239800,validation_only_case_local_candidate,visible_label_on_official_raster
fig1f-label-13,Fig.1f,Primary,TSK,#ef6633,16.6,16.6,1572,538,manual_verified_visible_label,true,70.3,23.613087,23.493200,validation_only_case_local_candidate,visible_label_on_official_raster
fig1f-label-14,Fig.1f,MET,Normal_KC_Diff,#f6c74f,6.6,6.6,1811,452,manual_verified_visible_label,true,73.6,8.967391,8.628571,validation_only_case_local_candidate,visible_label_on_official_raster
fig1f-label-15,Fig.1f,MET,Normal_KC_Basal,#f1a93e,1.8,1.8,1856,443,manual_verified_visible_label,true,73.6,2.445652,1.842857,validation_only_case_local_candidate,visible_label_on_official_raster
fig1f-label-16,Fig.1f,MET,Tumor_KC_Diff,#799ab9,7.2,7.2,1895,453,manual_verified_visible_label,true,73.6,9.782609,9.385714,validation_only_case_local_candidate,visible_label_on_official_raster
fig1f-label-17,Fig.1f,MET,Tumor_KC_Basal,#54caf5,19.6,19.6,1944,538,manual_verified_visible_label,true,73.6,26.630435,27.242857,validation_only_case_local_candidate,visible_label_on_official_raster
fig1f-label-18,Fig.1f,MET,TSK,#ef6633,38.4,38.4,1788,594,manual_verified_visible_label,true,73.6,52.173913,52.900000,validation_only_case_local_candidate,visible_label_on_official_raster
