panel_id,chart_group,cell_type,color_hex,center_x_original_px,center_y_original_px,radial_band_min_px,radial_band_max_px,classified_angle_count,geometry_share_percent,mid_angle_deg_image,component_count,geometry_status
Fig.1f,Normal,TSK,#ef6633,1169,535,52,65,138,1.976228,44.125000,1,validation_only_case_local_candidate
Fig.1f,Normal,Tumor_KC_Basal,#54caf5,1169,535,52,65,1323,18.946012,5.300000,1,validation_only_case_local_candidate
Fig.1f,Normal,Tumor_KC_Cyc,#9dcc80,1169,535,52,65,1128,16.153516,-58.725000,1,validation_only_case_local_candidate
Fig.1f,Normal,Normal_KC_Diff,#f6c74f,1169,535,52,65,4394,62.924245,159.725000,1,validation_only_case_local_candidate
Fig.1f,AK,TSK,#ef6633,1405,536,52,65,523,7.551256,62.450000,1,validation_only_case_local_candidate
Fig.1f,AK,Tumor_KC_Diff,#799ab9,1405,536,52,65,669,9.659255,-71.950000,1,validation_only_case_local_candidate
Fig.1f,AK,Tumor_KC_Basal,#54caf5,1405,536,52,65,1726,24.920589,3.675000,1,validation_only_case_local_candidate
Fig.1f,AK,Tumor_KC_Cyc,#9dcc80,1405,536,52,65,213,3.075368,-47.100000,1,validation_only_case_local_candidate
Fig.1f,AK,Normal_KC_Diff,#f6c74f,1405,536,52,65,3795,54.793532,172.900000,1,validation_only_case_local_candidate
Fig.1f,Primary,TSK,#ef6633,1645,535,52,65,1641,23.493200,175.100000,1,validation_only_case_local_candidate
Fig.1f,Primary,Tumor_KC_Diff,#799ab9,1645,535,52,65,2596,37.165354,-23.775000,1,validation_only_case_local_candidate
Fig.1f,Primary,Tumor_KC_Basal,#54caf5,1645,535,52,65,1763,25.239800,87.750000,1,validation_only_case_local_candidate
Fig.1f,Primary,Normal_KC_Diff,#f6c74f,1645,535,52,65,985,14.101646,-116.850000,1,validation_only_case_local_candidate
Fig.1f,MET,TSK,#ef6633,1860,535,52,65,3703,52.900000,135.000000,1,validation_only_case_local_candidate
Fig.1f,MET,Tumor_KC_Diff,#799ab9,1860,535,52,65,657,9.385714,-73.150000,1,validation_only_case_local_candidate
Fig.1f,MET,Tumor_KC_Basal,#54caf5,1860,535,52,65,1907,27.242857,-7.050000,1,validation_only_case_local_candidate
Fig.1f,MET,Normal_KC_Basal,#f1a93e,1860,535,52,65,129,1.842857,-95.450000,1,validation_only_case_local_candidate
Fig.1f,MET,Normal_KC_Diff,#f6c74f,1860,535,52,65,604,8.628571,-115.625000,1,validation_only_case_local_candidate
