kind,series,category,x,value,pixel_x,pixel_y,radius,fill,confidence,value_status,x2,y2,stroke,stroke_width
point,Spontaneous curvature,visible curve marker,2.5,3.352839,163.204,335.107,7,#fb8177,0.7,calibrated_raster_trace,,,,
point,Spontaneous curvature,visible curve marker,5.0,3.342646,184.407,342.803,7,#fb8177,0.7,calibrated_raster_trace,,,,
line,Spontaneous curvature,visible curve connection,2.5,visible path,163.204,335.107,,none,,raster_supported_connection,184.407,342.803,#fb8177,2
point,Spontaneous curvature,visible curve marker,7.5,3.446262,205.611,264.572,7,#fb8177,0.7,calibrated_raster_trace,,,,
line,Spontaneous curvature,visible curve connection,5.0,visible path,184.407,342.803,,none,,raster_supported_connection,205.611,264.572,#fb8177,2
point,Spontaneous curvature,visible curve marker,10.0,3.399307,226.815,300.023,7,#fb8177,0.7,calibrated_raster_trace,,,,
line,Spontaneous curvature,visible curve connection,7.5,visible path,205.611,264.572,,none,,raster_supported_connection,226.815,300.023,#fb8177,2
point,Spontaneous curvature,visible curve marker,12.5,3.318006,248.019,361.405,7,#fb8177,0.7,calibrated_raster_trace,,,,
line,Spontaneous curvature,visible curve connection,10.0,visible path,226.815,300.023,,none,,raster_supported_connection,248.019,361.405,#fb8177,2
point,Spontaneous curvature,visible curve marker,15.0,3.311793,269.222,366.096,7,#fb8177,0.7244,calibrated_raster_trace,,,,
line,Spontaneous curvature,visible curve connection,12.5,visible path,248.019,361.405,,none,,raster_supported_connection,269.222,366.096,#fb8177,2
point,Spontaneous curvature,visible curve marker,17.5,3.310439,290.426,367.119,7,#fb8177,0.7,calibrated_raster_trace,,,,
line,Spontaneous curvature,visible curve connection,15.0,visible path,269.222,366.096,,none,,raster_supported_connection,290.426,367.119,#fb8177,2
point,Spontaneous curvature,visible curve marker,20.0,3.307434,311.63,369.387,7,#fb8177,0.7749,calibrated_raster_trace,,,,
line,Spontaneous curvature,visible curve connection,17.5,visible path,290.426,367.119,,none,,raster_supported_connection,311.63,369.387,#fb8177,2
point,Spontaneous curvature,visible curve marker,22.5,3.306111,332.833,370.386,7,#fb8177,0.8472,calibrated_raster_trace,,,,
line,Spontaneous curvature,visible curve connection,20.0,visible path,311.63,369.387,,none,,raster_supported_connection,332.833,370.386,#fb8177,2
point,Spontaneous curvature,visible curve marker,25.0,3.30497,354.037,371.247,7,#fb8177,0.7848,calibrated_raster_trace,,,,
line,Spontaneous curvature,visible curve connection,22.5,visible path,332.833,370.386,,none,,raster_supported_connection,354.037,371.247,#fb8177,2
point,Spontaneous curvature,visible curve marker,27.5,3.303737,375.241,372.179,7,#fb8177,0.7757,calibrated_raster_trace,,,,
line,Spontaneous curvature,visible curve connection,25.0,visible path,354.037,371.247,,none,,raster_supported_connection,375.241,372.179,#fb8177,2
point,Spontaneous curvature,visible curve marker,30.0,3.302649,396.444,373.0,7,#fb8177,0.6959,calibrated_raster_trace,,,,
line,Spontaneous curvature,visible curve connection,27.5,visible path,375.241,372.179,,none,,raster_supported_connection,396.444,373.0,#fb8177,2
point,Spontaneous curvature,visible curve marker,67.5,3.302649,714.5,373.0,7,#fb8177,0.5202,calibrated_raster_trace,,,,
point,Spontaneous curvature,visible curve marker,70.0,3.303578,735.704,372.299,7,#fb8177,0.746,calibrated_raster_trace,,,,
line,Spontaneous curvature,visible curve connection,67.5,visible path,714.5,373.0,,none,,raster_supported_connection,735.704,372.299,#fb8177,2
point,Spontaneous curvature,visible curve marker,72.5,3.315332,756.907,363.424,7,#fb8177,0.7,calibrated_raster_trace,,,,
line,Spontaneous curvature,visible curve connection,70.0,visible path,735.704,372.299,,none,,raster_supported_connection,756.907,363.424,#fb8177,2
point,Spontaneous curvature,visible curve marker,75.0,3.310979,778.111,366.711,7,#fb8177,0.7,calibrated_raster_trace,,,,
line,Spontaneous curvature,visible curve connection,72.5,visible path,756.907,363.424,,none,,raster_supported_connection,778.111,366.711,#fb8177,2
point,Spontaneous curvature,visible curve marker,77.5,3.31091,799.315,366.763,7,#fb8177,0.7,calibrated_raster_trace,,,,
line,Spontaneous curvature,visible curve connection,75.0,visible path,778.111,366.711,,none,,raster_supported_connection,799.315,366.763,#fb8177,2
point,Spontaneous curvature,visible curve marker,80.0,3.312049,820.519,365.903,7,#fb8177,0.7,calibrated_raster_trace,,,,
line,Spontaneous curvature,visible curve connection,77.5,visible path,799.315,366.763,,none,,raster_supported_connection,820.519,365.903,#fb8177,2
point,Spontaneous curvature,visible curve marker,82.5,3.310828,841.722,366.825,7,#fb8177,0.7011,calibrated_raster_trace,,,,
line,Spontaneous curvature,visible curve connection,80.0,visible path,820.519,365.903,,none,,raster_supported_connection,841.722,366.825,#fb8177,2
point,Spontaneous curvature,visible curve marker,85.0,3.317214,862.926,362.003,7,#fb8177,0.7,calibrated_raster_trace,,,,
line,Spontaneous curvature,visible curve connection,82.5,visible path,841.722,366.825,,none,,raster_supported_connection,862.926,362.003,#fb8177,2
point,Spontaneous curvature,visible curve marker,87.5,3.321168,884.13,359.018,7,#fb8177,0.7,calibrated_raster_trace,,,,
line,Spontaneous curvature,visible curve connection,85.0,visible path,862.926,362.003,,none,,raster_supported_connection,884.13,359.018,#fb8177,2
point,Spontaneous curvature,visible curve marker,90.0,3.327356,905.333,354.346,7,#fb8177,0.7003,calibrated_raster_trace,,,,
line,Spontaneous curvature,visible curve connection,87.5,visible path,884.13,359.018,,none,,raster_supported_connection,905.333,354.346,#fb8177,2
point,Spontaneous curvature,visible curve marker,92.5,3.335791,926.537,347.978,7,#fb8177,0.7816,calibrated_raster_trace,,,,
line,Spontaneous curvature,visible curve connection,90.0,visible path,905.333,354.346,,none,,raster_supported_connection,926.537,347.978,#fb8177,2
point,Spontaneous curvature,visible curve marker,95.0,3.347039,947.741,339.486,7,#fb8177,0.7244,calibrated_raster_trace,,,,
line,Spontaneous curvature,visible curve connection,92.5,visible path,926.537,347.978,,none,,raster_supported_connection,947.741,339.486,#fb8177,2
point,Spontaneous curvature,visible curve marker,97.5,3.361561,968.944,328.521,7,#fb8177,0.7749,calibrated_raster_trace,,,,
line,Spontaneous curvature,visible curve connection,95.0,visible path,947.741,339.486,,none,,raster_supported_connection,968.944,328.521,#fb8177,2
point,Spontaneous curvature,visible curve marker,100.0,3.378872,990.148,315.452,7,#fb8177,0.7816,calibrated_raster_trace,,,,
line,Spontaneous curvature,visible curve connection,97.5,visible path,968.944,328.521,,none,,raster_supported_connection,990.148,315.452,#fb8177,2
point,Spontaneous curvature,visible curve marker,102.5,3.399946,1011.352,299.541,7,#fb8177,0.7029,calibrated_raster_trace,,,,
line,Spontaneous curvature,visible curve connection,100.0,visible path,990.148,315.452,,none,,raster_supported_connection,1011.352,299.541,#fb8177,2
point,Spontaneous curvature,visible curve marker,105.0,3.423329,1032.556,281.887,7,#fb8177,0.7567,calibrated_raster_trace,,,,
line,Spontaneous curvature,visible curve connection,102.5,visible path,1011.352,299.541,,none,,raster_supported_connection,1032.556,281.887,#fb8177,2
point,Spontaneous curvature,visible curve marker,107.5,3.449407,1053.759,262.198,7,#fb8177,0.7567,calibrated_raster_trace,,,,
line,Spontaneous curvature,visible curve connection,105.0,visible path,1032.556,281.887,,none,,raster_supported_connection,1053.759,262.198,#fb8177,2
point,Spontaneous curvature,visible curve marker,110.0,3.47692,1074.963,241.425,7,#fb8177,0.7244,calibrated_raster_trace,,,,
line,Spontaneous curvature,visible curve connection,107.5,visible path,1053.759,262.198,,none,,raster_supported_connection,1074.963,241.425,#fb8177,2
