kind,series,category,x,value,pixel_x,pixel_y,width,height,fill,stroke,stroke_width,value_status
rect,Upregulated,NSC,NSC,225,102,52,225,20,#ff3a1c,#222,2,visible_stacked_segment_candidate
rect,Downregulated,NSC,NSC,260,327,52,260,20,#1597e5,#222,2,visible_stacked_segment_candidate
rect,Upregulated,Neuroblast,Neuroblast,102,102,80,102,20,#ff3a1c,#222,2,visible_stacked_segment_candidate
rect,Downregulated,Neuroblast,Neuroblast,165,204,80,165,20,#1597e5,#222,2,visible_stacked_segment_candidate
rect,Upregulated,Astrocyte,Astrocyte,140,102,108,140,20,#ff3a1c,#222,2,visible_stacked_segment_candidate
rect,Downregulated,Astrocyte,Astrocyte,125,242,108,125,20,#1597e5,#222,2,visible_stacked_segment_candidate
rect,Upregulated,TAP,TAP,63,102,136,63,20,#ff3a1c,#222,2,visible_stacked_segment_candidate
rect,Downregulated,TAP,TAP,66,165,136,66,20,#1597e5,#222,2,visible_stacked_segment_candidate
rect,Upregulated,Ependymal,Ependymal,87,102,164,87,20,#ff3a1c,#222,2,visible_stacked_segment_candidate
rect,Downregulated,Ependymal,Ependymal,40,189,164,40,20,#1597e5,#222,2,visible_stacked_segment_candidate
rect,Upregulated,Neuron,Neuron,20,102,192,20,20,#ff3a1c,#222,2,visible_stacked_segment_candidate
rect,Downregulated,Neuron,Neuron,50,122,192,50,20,#1597e5,#222,2,visible_stacked_segment_candidate
rect,Upregulated,OPC,OPC,20,102,220,20,20,#ff3a1c,#222,2,visible_stacked_segment_candidate
rect,Downregulated,OPC,OPC,15,122,220,15,20,#1597e5,#222,2,visible_stacked_segment_candidate
rect,Upregulated,Endothelia,Endothelia,14,102,248,14,20,#ff3a1c,#222,2,visible_stacked_segment_candidate
rect,Downregulated,Endothelia,Endothelia,20,116,248,20,20,#1597e5,#222,2,visible_stacked_segment_candidate
rect,Upregulated,Oligodendrocyte,Oligodendrocyte,13,102,276,13,20,#ff3a1c,#222,2,visible_stacked_segment_candidate
rect,Downregulated,Oligodendrocyte,Oligodendrocyte,10,115,276,10,20,#1597e5,#222,2,visible_stacked_segment_candidate
rect,Upregulated,Pericyte,Pericyte,10,102,304,10,20,#ff3a1c,#222,2,visible_stacked_segment_candidate
rect,Downregulated,Pericyte,Pericyte,8,112,304,8,20,#1597e5,#222,2,visible_stacked_segment_candidate
rect,Upregulated,Microglia,Microglia,8,102,332,8,20,#ff3a1c,#222,2,visible_stacked_segment_candidate
rect,Downregulated,Microglia,Microglia,4,110,332,4,20,#1597e5,#222,2,visible_stacked_segment_candidate
